customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,RFM_Segment
24,158,1.0,189.37,2,1,5,215,Others
38,241,1.0,42.9,1,1,2,112,Hibernating
48,206,1.0,232.8,2,1,5,215,Others
50,288,1.0,65.12,1,1,3,113,Others
96,133,1.0,24.8,3,1,1,311,Others
105,94,1.0,20.86,3,1,1,311,Others
150,183,1.0,15.92,2,1,1,211,Hibernating
194,44,1.5,1180.7,4,5,5,455,Loyal Customers
210,96,1.0,59.7,3,1,3,313,High Spending Infrequent Customers
229,254,1.0,146.3,1,1,4,114,Others
275,303,1.0,250.6,1,1,5,115,Others
330,59,1.0,137.3,4,1,4,414,High Spending Infrequent Customers
361,158,1.0,271.68,2,1,5,215,Others
374,264,1.0,131.46,1,1,4,114,Others
375,128,1.0,108.29,3,1,4,314,High Spending Infrequent Customers
390,35,1.0,208.13,5,1,5,515,New Customers
405,32,1.0,1321.4,5,1,5,515,New Customers
409,126,1.0,395.75,3,1,5,315,High Spending Infrequent Customers
418,340,1.0,93.51,1,1,4,114,Others
420,213,1.0,119.6,2,1,4,214,Others
423,285,1.0,70.09,1,1,3,113,Others
427,8,1.0,15.8,5,1,1,511,New Customers
433,205,1.0,359.91,2,1,5,215,Others
435,208,1.0,94.7,2,1,4,214,Others
437,36,1.0,1743.0,5,1,5,515,New Customers
442,94,1.0,31.36,3,1,2,312,Others
452,13,1.0,64.7,5,1,3,513,New Customers
463,184,1.0,139.92,2,1,4,214,Others
467,36,1.75,1285.58,5,5,5,555,Champions
471,351,1.0,0.0,1,1,1,111,Hibernating
473,36,1.0,828.05,5,1,5,515,New Customers
476,163,2.0,159.84,2,5,4,254,At Risk
482,136,1.0,83.86,3,1,3,313,High Spending Infrequent Customers
500,53,1.0,175.16,4,1,4,414,High Spending Infrequent Customers
512,227,1.0,161.7,2,1,4,214,Others
517,81,1.0,431.68,4,1,5,415,High Spending Infrequent Customers
557,277,1.0,334.9,1,1,5,115,Others
559,72,1.0,237.53,4,1,5,415,High Spending Infrequent Customers
562,39,1.0,287.6,4,1,5,415,High Spending Infrequent Customers
566,62,1.0,34.9,4,1,2,412,Recent Low Spenders
577,264,1.0,177.73,1,1,4,114,Others
583,189,2.0,546.62,2,5,5,255,At Risk
589,36,1.0,74.95,5,1,3,513,New Customers
607,265,1.0,255.92,1,1,5,115,Others
621,330,1.0,86.24,1,1,3,113,Others
624,36,1.0,478.98,5,1,5,515,New Customers
628,302,1.0,372.64,1,1,5,115,Others
664,256,1.0,11.7,1,1,1,111,Hibernating
668,314,1.0,535.5,1,1,5,115,Others
676,88,1.0,109.82,3,1,4,314,High Spending Infrequent Customers
709,181,1.0,2636.8,2,1,5,215,Others
